,gross_ret,equity_turnover,cash_turnover,turnover,fee_cost,impact_cost,cost,missing_ret_penalty_ret,capacity_shortfall,base_exposure_signal,base_exposure,vol_scale_signal,vol_scale,exposure,regime,regime_label,net_ret,nav,return_mode,weight_lag_days,exposure_signal_lag_days,vol_scale_lag_days,missing_ret_policy,max_participation_of_adv,impact_bps_at_100pct_adv
2021-10-25,0.008966488632075711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8772543450448532,0.8780865084577877,1.0,1,Transition,0.008966488632075711,3.0783850145393776,close_to_close,1,1,1,liquidate,,0.0
2021-10-26,0.0016091874836226727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8885889193469614,0.8772543450448532,1.0,1,Transition,0.0016091874836226727,3.0833387131745456,close_to_close,1,1,1,liquidate,,0.0
2021-10-27,-0.013391393472950106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8885889193469614,1.0,1,Transition,-0.013391393472950106,3.0420485112560454,close_to_close,1,1,1,liquidate,,0.0
2021-10-28,0.009048050722975851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,0.009048050722975851,3.069573120487643,close_to_close,1,1,1,liquidate,,0.0
2021-10-29,0.007436069014424668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,0.007436069014424668,3.092398678056412,close_to_close,1,1,1,liquidate,,0.0
2021-11-01,-0.0004916208757433579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,-0.0004916208757433579,3.0908783903101584,close_to_close,1,1,1,liquidate,,0.0
2021-11-02,0.0038973395370188475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,0.0038973395370188475,3.1029245928648312,close_to_close,1,1,1,liquidate,,0.0
2021-11-03,0.0068246698105067245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,RiskOn,0.0068246698105067245,3.124101028658035,close_to_close,1,1,1,liquidate,,0.0
2021-11-04,0.013087569348654168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,RiskOn,0.013087569348654168,3.1649879175227986,close_to_close,1,1,1,liquidate,,0.0
2021-11-05,-0.0038031570129525892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,RiskOn,-0.0038031570129525892,3.1529509715283615,close_to_close,1,1,1,liquidate,,0.0
2021-11-08,0.010034483063053636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,RiskOn,0.010034483063053636,3.1845892046508015,close_to_close,1,1,1,liquidate,,0.0
2021-11-09,-0.0007894129611713289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,RiskOn,-0.0007894129611713289,3.182075248656644,close_to_close,1,1,1,liquidate,,0.0
2021-11-10,-0.014095895282498636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,RiskOn,-0.014095895282498636,3.137221049170549,close_to_close,1,1,1,liquidate,,0.0
2021-11-11,0.01572528276016872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,0.01572528276016872,3.1865547372499092,close_to_close,1,1,1,liquidate,,0.0
2021-11-12,0.011237987446149001,0.8542395827598863,1.5261075076364683e-16,0.8542395827598863,0.0008542395827598864,0.0,0.0008542395827598864,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,0.010383747863389114,3.2196431181944,close_to_close,1,1,1,liquidate,,0.0
2021-11-15,-0.009321544736000153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,RiskOn,-0.009321544736000153,3.189631070834196,close_to_close,1,1,1,liquidate,,0.0
2021-11-16,0.014311105713447481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,RiskOn,0.014311105713447481,3.235278218275801,close_to_close,1,1,1,liquidate,,0.0
2021-11-17,-0.010843319122888785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,RiskOn,-0.010843319122888785,3.200197064103705,close_to_close,1,1,1,liquidate,,0.0
