,AAPL,ADBE,ADI,ADSK,AMAT,AMD,APP,ARM,ASML,AVGO,CDNS,CDW,CRWD,CSCO,CTSH,DDOG,FTNT,GFS,INTC,INTU,KLAC,LRCX,MCHP,MRVL,MSFT,MSTR,MU,NVDA,NXPI,ON,PANW,PLTR,QCOM,ROP,SHOP,SNPS,TEAM,TXN,WDAY,ZS
2020-09-03,,,,,,,,,,0.030392980907042084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,,,,,,0.049594576889464725,,,,,,,,,,,,,,,,,,,0.044482947311062615,,,,,,,,,,,,,0.04238857331912744,,
2020-11-24,,,0.036216791754427415,0.057209351021937804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,0.06156564731062583,,,,,,,,,,,,,,,,,,,,,0.0471530674410416,,,,,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,,,,,,0.04777722142794174,,,,,,,,,,,,,,,,,,,,,
2021-02-03,,,,,,,,,,,,,,,0.03780095288328317,,,,,,0.04689122248049822,,,,,,,,,,,,0.00898468937559234,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03555817936182468,,,,,,,,,,,,,
2020-12-10,,0.03620041266186473,,,,,,,,0.05509884500614959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,0.03694157334316589,,,,,,,,,,,,,,,,,,,,0.04468114745756418,,,,,,,,,
2020-11-19,,,,,,,,,,,,,,,,,,,,0.03891391029103474,,,,,,,,,,,,,,,,,,,0.05941947728736242,
2021-02-17,,,0.037436785381284476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028979952848134868,0.03697295460273915,,,,
2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04056386440422668,,,,,,
2020-12-02,,,,,,,,,,,,,0.06395580563272106,,,,,,,,,,,,,,,,,,,,,,,0.034140595166375604,,,,0.06616838649280908
2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,0.02952154179691918,,,,,,,,,,,0.07025201242808364,,,
2021-02-04,,,,,,,,,,,,,,,,,0.044625046313887376,,,,,,0.05354879825469405,,,,,,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,0.06552895596587377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,,,,,,,,,,,,,,,,0.036255481832639894,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07053329046015695,,,,,,,,
2021-01-20,,,,,,,,,0.040786288613093705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04702073542580025,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05525619332562958,0.05803494335426113,,,,,,,,,,
2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,0.045328274667228795,,,,,,,,,,,,,,,,
2020-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06670096079294009,,,,,,,,,
2021-04-27,,,,,,0.04898982614322769,,,,,,,,,,,,,,,,,,,0.041023659856560354,,,,,,,,,0.028960879086138855,,,,0.035333604398476263,,
2021-04-28,0.03581527826377131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009407058803899183,,0.017463781627213043,,,,,
2021-02-18,,,,,0.04542615432589287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,,,,0.02566665563565407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0555923920122648,0.05091113358456244
2021-04-22,,,,,,,,,,,,,,,,,,,0.043563107751292615,,,,,,,,,,,,,,,,,,,,,
2021-04-29,,,,,,,,,,,,,,,,,0.04170978534133573,,,,0.03672182812379325,,,,,0.03228039129916314,,,,,,,,,,,0.052574496605743225,,,
2021-04-21,,,,,,,,,0.026232108450039888,,,,,,,,,,,,,0.03903623043823508,,,,,,,,,,,,,,,,,,
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019886058910742393,,,,,,,,,,,,,
2021-03-23,,0.03811717233037986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26,,,,,,,,,,,0.034337076950686655,,,,,,,,,,,,,,,,,,0.034910319550503124,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,,,0.051429267404392236,,,,,,,,,,,,,,,,,,,,,,,,,,
