tic,predicted_return,trade_date
NVDA,0.0788035573590256,2020-04-15
PANW,0.0542822254613326,2020-04-15
ADBE,0.0473979793519609,2020-04-16
ADSK,0.0484835987916261,2020-04-16
AMAT,0.0491472462704764,2020-04-16
CRWD,0.0669807843611018,2020-04-16
NVDA,0.0788035573590256,2020-04-16
PANW,0.0542822254613326,2020-04-16
ADBE,0.0473979793519609,2020-04-17
ADSK,0.0484835987916261,2020-04-17
AMAT,0.0491472462704764,2020-04-17
CRWD,0.0669807843611018,2020-04-17
NVDA,0.0788035573590256,2020-04-17
PANW,0.0542822254613326,2020-04-17
ADBE,0.0473979793519609,2020-04-20
ADSK,0.0484835987916261,2020-04-20
AMAT,0.0491472462704764,2020-04-20
CDNS,0.0547818059869897,2020-04-20
CRWD,0.0669807843611018,2020-04-20
NVDA,0.0788035573590256,2020-04-20
PANW,0.0542822254613326,2020-04-20
ADBE,0.0473979793519609,2020-04-21
ADSK,0.0484835987916261,2020-04-21
AMAT,0.0491472462704764,2020-04-21
CDNS,0.0547818059869897,2020-04-21
CRWD,0.0669807843611018,2020-04-21
NVDA,0.0788035573590256,2020-04-21
PANW,0.0542822254613326,2020-04-21
ORLY,0.0501387976109981,2020-04-22
ADBE,0.0473979793519609,2020-04-22
ADSK,0.0484835987916261,2020-04-22
AMAT,0.0491472462704764,2020-04-22
CDNS,0.0547818059869897,2020-04-22
CRWD,0.0669807843611018,2020-04-22
LRCX,0.0518167174971887,2020-04-22
NVDA,0.0788035573590256,2020-04-22
PANW,0.0542822254613326,2020-04-22
ORLY,0.0501387976109981,2020-04-23
ADBE,0.0473979793519609,2020-04-23
ADSK,0.0484835987916261,2020-04-23
AMAT,0.0491472462704764,2020-04-23
CDNS,0.0547818059869897,2020-04-23
CRWD,0.0669807843611018,2020-04-23
LRCX,0.0518167174971887,2020-04-23
NVDA,0.0788035573590256,2020-04-23
PANW,0.0542822254613326,2020-04-23
ORLY,0.0501387976109981,2020-04-24
ADBE,0.0473979793519609,2020-04-24
ADSK,0.0484835987916261,2020-04-24
AMAT,0.0491472462704764,2020-04-24
CDNS,0.0547818059869897,2020-04-24
CRWD,0.0669807843611018,2020-04-24
LRCX,0.0518167174971887,2020-04-24
NVDA,0.0788035573590256,2020-04-24
PANW,0.0542822254613326,2020-04-24
ORLY,0.0501387976109981,2020-04-27
ADBE,0.0473979793519609,2020-04-27
ADSK,0.0484835987916261,2020-04-27
AMAT,0.0491472462704764,2020-04-27
CDNS,0.0547818059869897,2020-04-27
CRWD,0.0669807843611018,2020-04-27
LRCX,0.0518167174971887,2020-04-27
NVDA,0.0788035573590256,2020-04-27
PANW,0.0542822254613326,2020-04-27
NFLX,0.0459619184401102,2020-04-27
ORLY,0.0501387976109981,2020-04-28
SBUX,0.0526515915989875,2020-04-28
ADBE,0.0473979793519609,2020-04-28
ADSK,0.0484835987916261,2020-04-28
AMAT,0.0491472462704764,2020-04-28
CDNS,0.0547818059869897,2020-04-28
CRWD,0.0669807843611018,2020-04-28
LRCX,0.0518167174971887,2020-04-28
NVDA,0.0788035573590256,2020-04-28
PANW,0.0542822254613326,2020-04-28
GOOGL,0.0909892107258076,2020-04-28
CSGP,0.0536049025831744,2020-04-28
ORLY,0.0501387976109981,2020-04-29
SBUX,0.0526515915989875,2020-04-29
TSLA,0.0607108548283577,2020-04-29
ADBE,0.0473979793519609,2020-04-29
ADSK,0.0484835987916261,2020-04-29
AMAT,0.0491472462704764,2020-04-29
CDNS,0.0547818059869897,2020-04-29
CRWD,0.0669807843611018,2020-04-29
LRCX,0.0518167174971887,2020-04-29
NVDA,0.0788035573590256,2020-04-29
PANW,0.0542822254613326,2020-04-29
GOOGL,0.0909892107258076,2020-04-29
META,0.0894191520092959,2020-04-29
CSGP,0.0536049025831744,2020-04-29
AMZN,0.0456168316304683,2020-04-30
LULU,0.0456168316304683,2020-04-30
ORLY,0.0501387976109981,2020-04-30
SBUX,0.0526515915989875,2020-04-30
