,ABNB,AMZN,BKNG,DASH,LULU,MAR,MELI,ORLY,PDD,ROST,SBUX,TSLA
2022-04-28,,0.05942999711579744,,,,,,,,,,
2022-03-29,,,,,0.06749324022539498,,,,,,,
2022-04-20,,,,,,,,,,,,0.06888718530565373
2022-05-19,,,,,,,,,,0.06977093974800101,,
2022-08-02,0.06251626258012857,,,,,0.056383916626412435,,,,,0.05633917312485554,
2022-07-27,,,,,,,,0.05633917312485554,,,,
2022-08-29,,,,,,,,,0.06123634964876904,,,
2022-08-04,,,,0.07348274358984011,,,,,,,,
2022-07-28,,0.06123634964876904,,,,,,,,,,
2022-08-03,,,0.058190374521019106,,,,0.06733452566741063,,,,,
2022-06-02,,,,,0.07619833569594554,,,,,,,
2022-07-20,,,,,,,,,,,,0.06733452566741063
2022-08-18,,,,,,,,,,0.0600336998320745,,
2022-11-03,,,,0.0730253843043519,,0.05908164838645428,0.06494985366586706,,,,0.058281238868033075,
2022-10-26,,,,,,,,0.05746828073913692,,,,
2022-11-28,,,,,,,,,0.060521118090106525,,,
2022-11-01,0.0600336998320745,,,,,,,,,,,
2022-10-27,,0.06437243753285415,,,,,,,,,,
2022-11-02,,,0.06329768504573802,,,,,,,,,
2022-09-01,,,,,0.06309693714841856,,,,,,,
2022-10-19,,,,,,,,,,,,0.06668954072859036
2022-11-17,,,,,,,,,,0.050322493546348865,,
2023-02-02,,0.06689265132955383,,,,,,,,,0.0463011293419395,
2023-02-08,,,,,,,,0.0463011293419395,,,,
2023-02-14,0.0468180070512535,,,,,0.05045902543960316,,,,,,
2023-03-20,,,,,,,,,0.055863091044149084,,,
2023-02-16,,,,0.06821271141208217,,,,,,,,
2023-02-23,,,0.053843954359205776,,,,0.06279293001643321,,,,,
2022-12-08,,,,,0.056156526349390994,,,,,,,
2023-01-25,,,,,,,,,,,,0.050322493546348865
2023-02-28,,,,,,,,,,0.045084429402654766,,
2023-05-02,,,,,,0.03909936784049339,,,,,0.039100484659853246,
2023-04-26,,,,,,,,0.039100484659853246,,,,
2023-05-30,,,,,,,,,0.04188312774337956,,,
2023-05-04,,,0.05506376046554956,0.05883785362139227,,,,,,,,
2023-05-09,0.05981482971762816,,,,,,,,,,,
2023-04-27,,0.05506376046554956,,,,,,,,,,
2023-03-28,,,,,0.05506376046554956,,,,,,,
2023-05-03,,,,,,,0.05506376046554956,,,,,
2023-04-19,,,,,,,,,,,,0.05506376046554956
2023-05-18,,,,,,,,,,0.02423140234595726,,
2023-08-01,,,,,,0.027857558949158177,,,,,0.02423140234595726,
2023-07-26,,,,,,,,0.025138868138992184,,,,
2023-08-29,,,,,,,,,0.04914020034555837,,,
2023-08-02,,,,0.04914020034555837,,,0.04425246647212675,,,,,
2023-08-03,0.02423140234595726,0.03804300552045491,0.027857558949158177,,,,,,,,,
2023-06-01,,,,,0.039292961220973206,,,,,,,
2023-07-19,,,,,,,,,,,,0.022554494549462012
2023-08-17,,,,,,,,,,0.022965671867665266,,
2023-11-02,,,0.024140415171136027,,,0.023629198535302397,,,,,0.026016242310219442,
2023-10-25,,,,,,,,0.025850966182286477,,,,
2023-11-28,,,,,,,,,0.032366410616136286,,,
2023-11-01,0.02487208532659181,,,0.04377765818743148,,,0.044851860957064275,,,,,
2023-10-26,,0.031992551419207205,,,,,,,,,,
2023-08-31,,,,,0.036420648347162625,,,,,,,
2023-10-18,,,,,,,,,,,,0.022965671867665266
2023-11-16,,,,,,,,,,0.022391024978602545,,
2024-01-30,,,,,,,,,,,0.022391024978602545,
2024-02-07,,,,,,,,0.027880533790229554,,,,
2024-02-13,0.02969846873589412,,,,,0.030637138812520344,,,,,,
2024-03-20,,,,,,,,,0.030637138812520344,,,
2024-02-15,,,,0.031381741730315965,,,,,,,,
2024-02-01,,0.015997620333505092,,,,,,,,,,
2024-02-22,,,0.030637138812520344,,,,0.04212925641050586,,,,,
2023-12-07,,,,,0.03253218896544239,,,,,,,
2024-01-24,,,,,,,,,,,,0.022391024978602545
2024-03-05,,,,,,,,,,0.03545895611755827,,
2024-04-30,,0.025534356475972256,,,,,,,,,0.032165540885601994,
2024-04-24,,,,,,,,0.032165540885601994,,,,
2024-05-01,,,,0.027541910849253882,,0.028397293531615492,,,,,,
2024-05-22,,,,,,,,,0.03389019053937655,,,
2024-05-08,0.021982695729929835,,,,,,,,,,,
2024-05-02,,,0.03545895611755827,,,,0.04977289320202038,,,,,
2024-03-21,,,,,0.04067580730978774,,,,,,,
2024-04-23,,,,,,,,,,,,0.024973396592852616
2024-05-23,,,,,,,,,,0.03446449912747025,,
2024-07-30,,,,,,,,,,,0.04123009790991744,
2024-07-24,,,,,,,,0.0283196614879603,,,,
2024-07-31,,,,,,0.035374997902718905,,,,,,
2024-08-26,,,,,,,,,0.04062415454998125,,,
2024-08-01,,0.040616399777592634,0.04378067462586366,0.03779486332384511,,,0.03843236172187595,,,,,
2024-08-06,0.03172277774877625,,,,,,,,,,,
2024-06-05,,,,,0.04323969411230407,,,,,,,
2024-07-23,,,,,,,,,,,,0.03523798842432807
2024-08-22,,,,,,,,,,0.035810931158239814,,
2024-10-30,,,0.0533821569893156,0.02522081351422961,,,,,,,0.027393573529367925,
2024-10-23,,,,,,,,0.03547983470538387,,,,0.023386886169010596
2024-11-04,,,,,,0.03180053627434168,,,,,,
2024-11-21,,,,,,,,,0.049261016807980625,0.032220784795401844,,
2024-11-07,0.02522081351422961,,,,,,,,,,,
2024-10-31,,0.043283827494653315,,,,,,,,,,
2024-08-29,,,,,0.049261016807980625,,,,,,,
2024-11-06,,,,,,,0.04345071993462901,,,,,
2025-01-28,,,,,,,,,,,0.054039583195880446,
2025-02-05,,,,,,,,0.03730122914054612,,,,
2025-02-11,,,,0.04283647521819606,,0.03672346201448302,,,,,,
2025-03-20,,,,,,,,,0.04838593999053134,,,
2025-02-13,0.042895610456184,,,,,,,,,,,
2025-02-06,,0.030033681635590767,,,,,,,,,,
2025-02-20,,,0.04644993982742982,,,,0.054039583195880446,,,,,
2024-12-03,,,,,0.04745546426454722,,,,,,,
2025-01-29,,,,,,,,,,,,0.03265332505560245
2025-03-04,,,,,,,,,,0.030381934842922974,,
2025-04-29,,,0.04557208952381563,,,,,,,,0.035726773657201116,
2025-04-23,,,,,,,,0.035726773657201116,,,,
2025-05-06,,,,0.031270997314476974,,0.043704251651351514,,,,,,
2025-05-27,,,,,,,,,0.054917827530218025,,,
2025-05-01,0.046987092481423194,0.04312529131943565,,,,,,,,,,
2025-03-27,,,,,0.04556399058587375,,,,,,,
2025-05-07,,,,,,,0.0572197527858704,,,,,
2025-04-22,,,,,,,,,,,,0.0559800540825466
2025-05-22,,,,,,,,,,0.03376799100272327,,
2025-07-29,,,0.047090650491804414,,,,,,,,0.03417764050644293,
2025-07-23,,,,,,,,0.03417764050644293,,,,0.026268874876526
2025-08-05,,,,,,0.03871644693738988,,,,,,
2025-08-25,,,,,,,,,0.03949156363938344,,,
2025-08-06,0.047034799963199134,,,0.03797000767570963,,,,,,,,
2025-07-31,,0.03871644693738988,,,,,,,,,,
2025-06-05,,,,,0.040075102473939195,,,,,,,
2025-08-04,,,,,,,0.04866217782203905,,,,,
2025-08-21,,,,,,,,,,0.047634295941671824,,
2025-10-29,,,,,,,0.05041568451828907,,,,0.04491510410754903,
2025-10-22,,,,,,,,0.030374234565994467,,,,0.0543866619444983
2025-11-04,,,,,,0.04174720808618476,,,,,,
2025-11-18,,,,,,,,,0.04806167886921792,,,
2025-11-05,,,,0.038783949014775894,,,,,,,,
2025-11-06,0.038902092486946586,,,,,,,,,,,
2025-10-30,,0.04242454687713721,,,,,,,,,,
2025-10-28,,,0.04327227604121434,,,,,,,,,
2025-09-04,,,,,0.040096968161322695,,,,,,,
2025-11-20,,,,,,,,,,0.04175550318800467,,
2026-01-28,,,,,,,,,,,0.05751288404914322,0.05470309092390204
2026-02-04,,,,,,,,0.03148256139148857,,,,
2026-02-10,,,,,,0.040546679830976436,,,,,,
2026-02-12,0.047937528428675595,,,,,,,,,,,
2026-02-05,,0.0419119650781809,,,,,,,,,,
2025-12-11,,,,,0.03316154432644217,,,,,,,
