,ABNB,AMZN,BKNG,DASH,LULU,MAR,MELI,ORLY,PDD,ROST,SBUX,TSLA
2022-07-27,,,,,,,,0.0651811808347702,,,,
2022-08-29,,,,,,,,,0.05955422669649124,,,
2022-08-04,,,,0.08204884082078934,,,,,,,,
2022-07-28,,0.057780671864748,,,,,,,,,,
2022-08-03,,,0.06273170560598373,,,,0.0701858177781105,,,,,
2022-06-02,,,,,0.05992601066827774,,,,,,,
2022-07-20,,,,,,,,,,,,0.053732410073280334
2022-08-18,,,,,,,,,,0.0600183829665184,,
2022-11-03,,,,0.06837088614702225,,0.03339201584458351,0.0690830647945404,,,,0.059133708477020264,
2022-10-26,,,,,,,,0.07048578560352325,,,,
2022-11-28,,,,,,,,,0.0685066357254982,,,
2022-11-01,0.06370421499013901,,,,,,,,,,,
2022-10-27,,0.06120990961790085,,,,,,,,,,
2022-11-02,,,0.05996035411953926,,,,,,,,,
2022-09-01,,,,,0.034555476158857346,,,,,,,
2022-10-19,,,,,,,,,,,,0.06382788717746735
2022-11-17,,,,,,,,,,0.054625142365694046,,
2023-02-02,,0.06462231278419495,,,,,,,,,0.057721931487321854,
2023-02-08,,,,,,,,0.057721931487321854,,,,
2023-02-14,0.054625142365694046,,,,,0.054625142365694046,,,,,,
2023-03-20,,,,,,,,,0.06462231278419495,,,
2023-02-16,,,,0.08059946447610855,,,,,,,,
2023-02-23,,,0.05088803172111511,,,,0.05454230681061745,,,,,
2022-12-08,,,,,0.054625142365694046,,,,,,,
2023-01-25,,,,,,,,,,,,0.054625142365694046
2023-02-28,,,,,,,,,,0.04785352945327759,,
2023-05-02,,,,,,0.04785352945327759,,,,,0.0575413703918457,
2023-04-26,,,,,,,,0.025793826207518578,,,,
2023-05-30,,,,,,,,,0.04785352945327759,,,
2023-05-04,,,0.04785352945327759,0.021627360954880714,,,,,,,,
2023-05-09,0.04785352945327759,,,,,,,,,,,
2023-04-27,,0.04785352945327759,,,,,,,,,,
2023-03-28,,,,,0.04785352945327759,,,,,,,
2023-05-03,,,,,,,0.04785352945327759,,,,,
2023-04-19,,,,,,,,,,,,0.04785352945327759
2023-05-18,,,,,,,,,,0.03232281655073166,,
2023-08-01,,,,,,0.033080656081438065,,,,,0.033629000186920166,
2023-07-26,,,,,,,,0.03676265478134155,,,,
2023-08-29,,,,,,,,,0.0024557088036090136,,,
2023-08-02,,,,0.039454299956560135,,,0.03232281655073166,,,,,
2023-08-03,0.03232281655073166,0.03232281655073166,0.022438272833824158,,,,,,,,,
2023-06-01,,,,,0.03232281655073166,,,,,,,
2023-07-19,,,,,,,,,,,,0.03232281655073166
2023-08-17,,,,,,,,,,0.023695630952715874,,
2023-11-02,,,0.03166527301073074,,,0.03166527301073074,,,,,0.01904408261179924,
2023-10-25,,,,,,,,0.03869162127375603,,,,
2023-11-28,,,,,,,,,0.012995981611311436,,,
2023-11-01,0.023695630952715874,,,0.044043418020009995,,,0.05011000856757164,,,,,
2023-10-26,,0.03166527301073074,,,,,,,,,,
2023-08-31,,,,,0.034708552062511444,,,,,,,
2023-10-18,,,,,,,,,,,,0.023695630952715874
2023-11-16,,,,,,,,,,0.030490035191178322,,
2024-01-30,,,,,,,,,,,0.005192127078771591,
2024-02-07,,,,,,,,0.03341236338019371,,,,
2024-02-13,0.025000398978590965,,,,,0.029237883165478706,,,,,,
2024-03-20,,,,,,,,,0.030490035191178322,,,
2024-02-15,,,,0.021402204409241676,,,,,,,,
2024-02-01,,0.03033122979104519,,,,,,,,,,
2024-02-22,,,0.029237883165478706,,,,0.045863598585128784,,,,,
2023-12-07,,,,,0.030490035191178322,,,,,,,
2024-01-24,,,,,,,,,,,,0.030490035191178322
2024-03-05,,,,,,,,,,0.035677485167980194,,
2024-04-30,,0.035677485167980194,,,,,,,,,0.017369356006383896,
2024-04-24,,,,,,,,0.03922085091471672,,,,
2024-05-01,,,,0.03220783546566963,,0.034714050590991974,,,,,,
2024-05-22,,,,,,,,,0.048291176557540894,,,
2024-05-08,0.04087631776928902,,,,,,,,,,,
2024-05-02,,,0.030696988105773926,,,,0.06822772324085236,,,,,
2024-03-21,,,,,0.03758172690868378,,,,,,,
2024-04-23,,,,,,,,,,,,0.03241406008601189
2024-05-23,,,,,,,,,,0.036187224090099335,,
2024-07-30,,,,,,,,,,,0.01592554897069931,
2024-07-24,,,,,,,,0.041742052882909775,,,,
2024-07-31,,,,,,0.036585547029972076,,,,,,
2024-08-26,,,,,,,,,0.04497137665748596,,,
2024-08-01,,0.03736305981874466,0.03481217101216316,0.03736305981874466,,,0.050753504037857056,,,,,
2024-08-06,0.03540971130132675,,,,,,,,,,,
2024-06-05,,,,,0.037382904440164566,,,,,,,
2024-07-23,,,,,,,,,,,,0.03540971130132675
2024-08-22,,,,,,,,,,0.03536822274327278,,
2024-10-30,,,0.04426556080579758,0.03699002414941788,,,,,,,0.026601502671837807,
2024-10-23,,,,,,,,0.03856756165623665,,,,0.02801142819225788
2024-11-04,,,,,,0.03536822274327278,,,,,,
2024-11-21,,,,,,,,,0.03925524652004242,0.037947554141283035,,
2024-11-07,0.03536822274327278,,,,,,,,,,,
2024-10-31,,0.03536822274327278,,,,,,,,,,
2024-08-29,,,,,0.03925524652004242,,,,,,,
2024-11-06,,,,,,,0.032794106751680374,,,,,
2025-01-28,,,,,,,,,,,0.04870014265179634,
